,,,,
County FIPS Code,Postal Code,Name,"Poverty Estimate, All Ages",Median Household Income
000,US,United States,"41,852,315","61,937"
000,AL,Alabama,"801,758","49,881"
001,AL,Autauga County,"7,587","59,338"
003,AL,Baldwin County,"21,069","57,588"
005,AL,Barbour County,"6,788","34,382"
007,AL,Bibb County,"4,400","46,064"
009,AL,Blount County,"7,527","50,412"
011,AL,Bullock County,"3,610","29,267"
013,AL,Butler County,"4,731","37,365"
015,AL,Calhoun County,"21,719","45,400"
017,AL,Chambers County,"6,181","39,917"
019,AL,Cherokee County,"4,180","42,132"
021,AL,Chilton County,"7,542","47,547"
023,AL,Choctaw County,"2,806","39,907"
025,AL,Clarke County,"5,381","40,741"
027,AL,Clay County,"2,285","39,201"
029,AL,Cleburne County,"2,356","46,495"
031,AL,Coffee County,"7,053","55,122"
033,AL,Colbert County,"7,459","49,055"
035,AL,Conecuh County,"2,979","32,613"
037,AL,Coosa County,"1,973","42,423"
039,AL,Covington County,"7,239","40,203"
041,AL,Crenshaw County,"2,661","39,057"
043,AL,Cullman County,"11,925","45,796"
045,AL,Dale County,"7,743","45,309"
047,AL,Dallas County,"11,841","34,035"
049,AL,DeKalb County,"14,975","39,491"
051,AL,Elmore County,"8,559","60,367"
053,AL,Escambia County,"8,022","38,418"
055,AL,Etowah County,"17,509","44,903"
057,AL,Fayette County,"3,801","39,254"
059,AL,Franklin County,"5,939","39,388"
061,AL,Geneva County,"5,537","37,823"
063,AL,Greene County,"2,459","28,524"
065,AL,Hale County,"3,705","34,724"
067,AL,Henry County,"3,037","46,027"
069,AL,Houston County,"17,032","47,993"
071,AL,Jackson County,"10,046","41,929"
073,AL,Jefferson County,"103,604","55,013"
075,AL,Lamar County,"2,374","40,936"
077,AL,Lauderdale County,"12,645","48,707"
079,AL,Lawrence County,"6,297","43,909"
081,AL,Lee County,"30,075","48,937"
083,AL,Limestone County,"10,633","64,863"
085,AL,Lowndes County,"2,474","33,973"
087,AL,Macon County,"5,031","32,495"
089,AL,Madison County,"42,667","63,755"
091,AL,Marengo County,"4,499","37,733"
093,AL,Marion County,"5,844","37,887"
095,AL,Marshall County,"17,341","46,233"
097,AL,Mobile County,"84,539","43,598"
099,AL,Monroe County,"4,560","39,556"
101,AL,Montgomery County,"43,567","49,640"
103,AL,Morgan County,"15,419","52,797"
105,AL,Perry County,"2,943","26,814"
107,AL,Pickens County,"4,177","37,586"
109,AL,Pike County,"7,315","37,259"
111,AL,Randolph County,"4,375","40,546"
113,AL,Russell County,"12,384","39,104"
115,AL,St. Clair County,"10,432","57,284"
117,AL,Shelby County,"16,916","75,663"
119,AL,Sumter County,"4,076","27,859"
121,AL,Talladega County,"14,825","41,630"
123,AL,Tallapoosa County,"7,839","42,205"
125,AL,Tuscaloosa County,"33,330","52,557"
127,AL,Walker County,"11,231","45,434"
129,AL,Washington County,"2,846","44,424"
131,AL,Wilcox County,"3,504","25,385"
133,AL,Winston County,"4,338","41,156"
000,AK,Alaska,"80,224","74,912"
013,AK,Aleutians East Borough,544,"70,081"
016,AK,Aleutians West Census Area,550,"82,633"
020,AK,Anchorage Borough,"27,075","82,113"
050,AK,Bethel Census Area,"5,869","44,304"
060,AK,Bristol Bay Borough,96,"77,257"
068,AK,Denali Borough,135,"75,477"
070,AK,Dillingham Census Area,"1,091","54,524"
090,AK,Fairbanks North Star Borough,"8,104","74,268"
100,AK,Haines Borough,259,"58,943"
105,AK,Hoonah-Angoon Census Area,370,"51,188"
110,AK,Juneau Borough,"2,299","79,173"
122,AK,Kenai Peninsula Borough,"7,103","65,439"
130,AK,Ketchikan Gateway Borough,"1,244","68,309"
150,AK,Kodiak Island Borough,"1,073","74,109"
158,AK,Kusilvak Census Area,"2,905","32,728"
164,AK,Lake and Peninsula Borough,288,"49,403"
170,AK,Matanuska-Susitna Borough,"10,937","74,649"
180,AK,Nome Census Area,"2,168","55,318"
185,AK,North Slope Borough,"1,094","89,276"
188,AK,Northwest Arctic Borough,"1,604","59,337"
195,AK,Petersburg Borough,232,"66,075"
198,AK,Prince of Wales-Hyder Census Area,"1,057","49,356"
220,AK,Sitka Borough,656,"71,825"
230,AK,Skagway Municipality,49,"74,635"
240,AK,Southeast Fairbanks Census Area,918,"63,527"
261,AK,Valdez-Cordova Census Area,880,"68,528"
275,AK,Wrangell City and Borough,287,"57,832"
282,AK,Yakutat Borough,79,"59,523"
290,AK,Yukon-Koyukuk Census Area,"1,259","38,912"
000,AZ,Arizona,"990,291","59,079"
001,AZ,Apache County,"26,435","33,652"
003,AZ,Cochise County,"18,273","49,164"
005,AZ,Coconino County,"20,964","60,187"
007,AZ,Gila County,"10,804","43,585"
009,AZ,Graham County,"7,118","50,157"
011,AZ,Greenlee County,985,"65,818"
012,AZ,La Paz County,"4,921","37,350"
013,AZ,Maricopa County,"535,183","65,234"
015,AZ,Mohave County,"34,411","45,129"
017,AZ,Navajo County,"30,876","40,650"
019,AZ,Pima County,"164,927","53,395"
021,AZ,Pinal County,"54,399","58,848"
023,AZ,Santa Cruz County,"11,287","40,545"
025,AZ,Yavapai County,"30,060","48,758"
027,AZ,Yuma County,"39,648","44,116"
000,AR,Arkansas,"492,306","47,094"
001,AR,Arkansas County,"3,120","43,887"
003,AR,Ashley County,"3,876","41,127"
005,AR,Baxter County,"6,216","39,686"
007,AR,Benton County,"23,290","68,978"
009,AR,Boone County,"5,472","44,482"
011,AR,Bradley County,"2,329","37,729"
013,AR,Calhoun County,800,"44,969"
015,AR,Carroll County,"4,499","45,023"
017,AR,Chicot County,"3,039","31,787"
019,AR,Clark County,"3,838","45,408"
021,AR,Clay County,"3,035","37,687"
023,AR,Cleburne County,"3,573","44,902"
025,AR,Cleveland County,"1,232","47,600"
027,AR,Columbia County,"4,799","40,909"
029,AR,Conway County,"3,693","44,565"
031,AR,Craighead County,"18,768","45,615"
033,AR,Crawford County,"10,027","47,363"
035,AR,Crittenden County,"9,056","42,606"
037,AR,Cross County,"2,940","41,214"
039,AR,Dallas County,"1,442","37,259"
041,AR,Desha County,"2,780","36,132"
043,AR,Drew County,"3,391","42,494"
045,AR,Faulkner County,"18,571","53,882"
047,AR,Franklin County,"3,202","43,696"
049,AR,Fulton County,"2,481","35,630"
051,AR,Garland County,"19,844","43,610"
053,AR,Grant County,"2,353","52,050"
055,AR,Greene County,"7,361","46,512"
057,AR,Hempstead County,"4,424","38,682"
059,AR,Hot Spring County,"5,844","47,205"
061,AR,Howard County,"2,271","40,199"
063,AR,Independence County,"5,302","45,596"
065,AR,Izard County,"2,358","37,828"
067,AR,Jackson County,"3,732","36,573"
069,AR,Jefferson County,"13,900","38,596"
071,AR,Johnson County,"5,761","39,381"
073,AR,Lafayette County,"1,498","35,527"
075,AR,Lawrence County,"2,776","40,308"
077,AR,Lee County,"3,098","28,080"
079,AR,Lincoln County,"2,647","44,951"
081,AR,Little River County,"1,942","43,559"
083,AR,Logan County,"3,950","41,471"
085,AR,Lonoke County,"8,651","56,651"
087,AR,Madison County,"3,002","42,674"
089,AR,Marion County,"3,082","36,581"
091,AR,Miller County,"9,228","42,162"
093,AR,Mississippi County,"10,325","36,718"
095,AR,Monroe County,"1,769","32,922"
097,AR,Montgomery County,"1,649","38,318"
099,AR,Nevada County,"1,738","37,626"
101,AR,Newton County,"1,340","36,078"
103,AR,Ouachita County,"5,410","37,624"
105,AR,Perry County,"1,502","45,342"
107,AR,Phillips County,"6,301","29,945"
109,AR,Pike County,"1,856","41,534"
111,AR,Poinsett County,"5,592","37,370"
113,AR,Polk County,"3,962","39,048"
115,AR,Pope County,"9,647","45,788"
117,AR,Prairie County,"1,254","43,245"
119,AR,Pulaski County,"64,312","49,957"
121,AR,Randolph County,"3,050","37,799"
123,AR,St. Francis County,"7,586","33,257"
125,AR,Saline County,"11,695","63,677"
127,AR,Scott County,"2,054","35,826"
129,AR,Searcy County,"1,912","31,659"
131,AR,Sebastian County,"19,527","46,843"
133,AR,Sevier County,"3,402","44,100"
135,AR,Sharp County,"3,541","36,032"
137,AR,Stone County,"2,497","34,009"
139,AR,Union County,"7,000","45,335"
141,AR,Van Buren County,"2,685","40,486"
143,AR,Washington County,"34,741","50,893"
145,AR,White County,"12,505","44,811"
147,AR,Woodruff County,"1,509","34,306"
149,AR,Yell County,"3,453","41,729"
000,CA,California,"4,972,955","75,250"
001,CA,Alameda County,"147,394","101,744"
003,CA,Alpine County,190,"55,384"
005,CA,Amador County,"4,130","58,515"
007,CA,Butte County,"42,016","50,945"
009,CA,Calaveras County,"5,454","62,984"
011,CA,Colusa County,"2,350","57,249"
013,CA,Contra Costa County,"88,980","101,463"
015,CA,Del Norte County,"5,065","48,518"
017,CA,El Dorado County,"15,401","81,869"
019,CA,Fresno County,"208,627","52,318"
021,CA,Glenn County,"4,271","47,365"
023,CA,Humboldt County,"27,002","49,471"
025,CA,Imperial County,"37,014","46,633"
027,CA,Inyo County,"2,172","53,793"
029,CA,Kern County,"177,021","51,586"
031,CA,Kings County,"25,481","58,255"
033,CA,Lake County,"11,689","45,086"
035,CA,Lassen County,"3,653","57,705"
037,CA,Los Angeles County,"1,409,155","67,986"
039,CA,Madera County,"30,201","53,632"
041,CA,Marin County,"16,742","122,933"
043,CA,Mariposa County,"2,569","51,402"
045,CA,Mendocino County,"15,140","51,386"
047,CA,Merced County,"56,863","56,169"
